Participant	Item	Condition	Target	Competitor	Distractor
P7	116	1	1	0	0
P13	121	3	1	0	0
P4	121	3	1	0	0
P1	121	3	1	0	0
P7	121	3	1	0	0
P10	121	3	1	0	0
P16	121	3	1	0	0
P16	120	2	1	0	0
P4	120	2	1	0	0
P13	120	2	1	0	0
P7	120	2	1	0	0
P10	120	2	1	0	0
P7	130	3	1	0	0
P16	130	3	1	0	0
P13	130	3	1	0	0
P10	130	3	1	0	0
P4	130	3	1	0	0
P7	127	3	1	0	0
P4	127	3	1	0	0
P1	127	3	1	0	0
P13	127	3	1	0	0
P10	127	3	1	0	0
P16	127	3	1	0	0
P1	102	2	1	0	0
P4	102	2	1	0	0
P7	102	2	1	0	0
P16	102	2	0	1	0
P13	102	2	1	0	0
P10	102	2	1	0	0
P7	125	1	1	0	0
P16	125	1	1	0	0
P4	125	1	1	0	0
P1	125	1	1	0	0
P10	125	1	1	0	0
P13	125	1	1	0	0
P16	118	3	0	1	0
P13	118	3	0	1	0
P7	118	3	1	0	0
P10	118	3	1	0	0
P4	118	3	1	0	0
P10	124	3	1	0	0
P13	124	3	1	0	0
P16	124	3	0	1	0
P4	124	3	1	0	0
